query,y_n
"""28 U.S.C. § 1915A""",0.0
"""12(b)(6)""",0.0
18.2-119,0.0
corporations code 13290,0.0
404(b),0.0
501.204,0.0
57.105,0.0
Rule 803,0.0
2255,0.0
26(b)(4)(D),0.0
form (8-k),0.0
701.02,0.0
Probate Code - § 19100,0.0
CCP 2030.300,0.0
12 usc 2605,0.0
768.0415,0.0
403,0.0
627.428,0.0
4511.19,0.0
"""4123.90""",0.0
830.31,0.0
"FORM(""Exhibit 10"")",0.0
"atl3(""securities"")",0.0
"""34""",0.0
CPL 440,0.0
257.625,0.0
9019,0.0
26(b)(5),0.0
rule 37,0.0
"""CPLR 2201""",1.0
"""41.700""",0.0
FRE 201,0.0
L 1994,0.0
"""p-14-03",0.0
"""chapter 11 trustee""",0.0
McKesson Corp. v. Longistics Transportation Inc november 4 2010,0.0
207,0.0
3211,0.0
2919.23(a)(1),0.0
"""temporary labor camps"" 1910.142",0.0
ccp 473,0.0
30.3,0.0
703,0.0
3025,0.0
r.2:2-1(a)(2),1.0
778.21,0.0
"""Proposition 21"" + California",0.0
12b6,0.0
"Fla. Stat. § 48.031 & ""affidavit proper on its face""",0.0
Civil Code 955,0.0
Seth Stoughton,0.0
"""448.08""",0.0
10-K,0.0
"547 US. 268; ""true value of case""",0.0
2025.48,0.0
"""Rule 42""",0.0
803(6),0.0
"""rule 408""",0.0
18.2-95,0.0
penal code 459,0.0
rule 26,0.0
45,0.0
"""1332(d)""",0.0
16-13-30,0.0
Rule 26,0.0
article 78,0.0
chapter 7,0.0
"""2315.18 (B)(2)"" cap award",0.0
"""rule 15""",0.0
"""Rule 45(d)(1)""",0.0
18.2-178,0.0
rule 59,0.0
149.43,0.0
26(b)(5)(B),0.0
section 402(c)(6) proceeds,0.0
542,0.0
"""12:235-3.6""",0.0
"""18 U.S.C. 248""",0.0
"""21 C.F.R. § 202.1(e)""",
"""626.9541""",0.0
42 usc 7604 (d) injunct!,0.0
limit scope of 30(B)(5) deposition,0.0
rule 45,0.0
"""CPLR 3101""",1.0
132a,0.0
chapter 11,0.0
736.1001,0.0
"""801.05(3)""",0.0
"""article 78""",0.0
12(B)(2),0.0
ccp 437c,0.0
362,0.0
12(b)(1),0.0
Article 81,0.0
1608,0.0
"""Fed. R. Crim. P. 44""",1.0
§ 303.131 Proceedings for Temporary Restraining Order and Order to Show Cause re Preliminary Injunction [Code Civ. Proc. § 527]%2014Ex Parte Application,0.0
CCP 473,0.0
Docket No. 185,0.0
UM 1147,0.0
1.28,0.0
1.51,0.0
"""8-k""",0.0
"""Rule 26""",0.0
danger to community bail reform act 924(c),0.0
212,0.0
702,0.0
"""§ 1030""",0.0
"""rule 1.442""",1.0
"""section 8""",0.0
37(c)(1),0.0
Prob. Code,0.0
R.C.M. 703(f)(2),0.0
162,0.0
627.4137,0.0
1127,0.0
"""26(g)""",0.0
"""prop 65""",1.0
56(f),0.0
FDCPA 802 class action,0.0
404,0.0
501,0.0
1910.142,0.0
"""chapter 7""",0.0
"""Rule 11""",0.0
13-90-102,0.0
39-14-121,0.0
41-29-139,0.0
1.19,0.0
31.7,0.0
1125,0.0
"""26(b)(2)(C)""",0.0
"""2805-b""",0.0
"""3-717""",1.0
"""Civ. R. 60(B)(5)""",1.0
134 S. Ct. 761-62.,0.0
18.2-308.2,0.0
RPAPL 1304,0.0
Rule 12,0.0
44.302,0.0
701,0.0
893.13,0.0
2984.4,0.0
"""44-7-14""",0.0
"""Rule 50""",0.0
"§ 67 DETRIMENTAL RELIANCE%2014""PROMISSORY ESTOPPEL""",0.0
15 usc 1114,0.0
33(a)(4),0.0
40-6-391,0.0
family code 3557,0.0
rpapl 741,0.0
95.11,0.0
200.82,0.0
316.401,0.0
718.111,0.0
87100,0.0
"""Rule 24""",0.0
10b5,0.0
19.2-266.2,0.0
404b,0.0
Article 78,0.0
irs 706 form,0.0
rule 16,0.0
Text messages discoverable 3101,0.0
1.37,0.0
153,0.0
412,0.0
713,0.0
768.28,0.0
1104,0.0
"""1637""",0.0
"""4:42-9(b)""",1.0
"""503(b)(3)(D)""",0.0
"""measure 37""",0.0
101.103 Motion for Summary Judgment by Defendant,0.0
10-k,0.0
18.2-248,0.0
8(a),1.0
A201-2007,0.0
Penal code section 739 and dismissal by preliminary hearing judge and charge again filed in the information by the prosecution,0.0
section 1983,0.0
ucc article 9,0.0
united states v. cook Mar. 7,0.0
101,0.0
502,0.0
718,0.0
741.3,0.0
"""1292(a)(2)""",0.0
12(b)(5),0.0
404(b),0.0
44112(b),0.0
a witness cannot testify to what someone else was thinking rule 602,0.0
Ariz. v. Youngblood,0.0
ORS § 20.075,0.0
90,0.0
261,0.0
1484,0.0
5701.02,0.0
"""440.13(2)(f)""",0.0
"""rule 42""",0.0
"""rule 50(a)""",0.0
1 Moore's Federal Practice - Civil Moore%2019s Federal Practice,0.0
14-10-129,0.0
8 CFR 103.5,0.0
alice 101,0.0
criminal rule 16,0.0
penal code 148,0.0
R.S. 14:102.1 ANIMAL CRUELTY,0.0
"Rule 402 service of process front door""",0.0
rule 60,0.0
26,0.0
28.1,0.0
131,0.0
180,0.0
624.155,0.0
941.03,0.0
2027.01,0.0
"""crim.r. 44(a)""",0.0
"""rule 4""",0.0
2009 NY Slip Op 33037(U),0.0
23(b)(2),0.0
768.28 !,0.0
ccp 1161,0.0
Iqbal,0.0
Rule 11,0.0
Rule 33,0.0
Rule 33(a)(1) interrogatories limit,0.0
3.131,0.0
170.1,0.0
608,0.0
965,0.0
1473.7,0.0
3122,0.0
3217,0.0
"""37(a)(5)(C)""",0.0
"""Rule 65""",0.0
12(B)(6),0.0
12(f),0.0
19.2-226,0.0
39-17-417,0.0
5402(c),0.0
ccp 2025.230,0.0
CCP 664.6,0.0
Health and Safety Code § 25363,0.0
rejection of 11(c)(1)(C) agreement abuse of discretion Fifth Circuit,0.0
rule 1.7,0.0
Rule 4,0.0
9.22,0.0
11.07,0.0
38.1,0.0
56.1,0.0
721,0.0
2802,0.0
"""37(b)""",0.0
"""Chapter 11""",0.0
§ 24-8-804. Hearsay rule exceptions; declarant unavailable,0.0
15.2-915,0.0
17-P-1005,0.0
2-207,1.0
26(a)(2)(b),0.0
401K,0.0
52-136,0.0
632.895 (5m),0.0
76-274,0.0
9(b),1.0
Investment Company Act Release No. 17091,0.0
rpapl 745,0.0
rule 12,0.0
rule 5:17,0.0
rule 52(c),0.0
THE REHABILITATION ACT OF 1973,0.0
Uniform Trust Code § 1010,0.0
7.135,0.0
42,0.0
61.075,0.0
90.804,0.0
198,0.0
490.065,0.0
558,0.0
1027,0.0
1651,0.0
3343,0.0
"""§ 101""",0.0
"""C-570-913""",0.0
"""cplr 3120""",1.0
"""declaratory judgment"" ""tort"" ""duty"" ""2315""",0.0
"""Fed. R. Evid. 201""",1.0
12-30523,0.0
13-5,0.0
191(1),0.0
29 U.S.C. § 1056(d)(3)(H) QDRO,0.0
30(b)(6) deposition,0.0
34-23-1-2,0.0
38-8-105,0.0
3rd party beneficiary,0.0
42 USC 1981 discrimination,0.0
chapter 13,0.0
chapter 86,0.0
due process privacy fourteenth 14th amendment,0.0
form n-2,0.0
FORM(10-K),0.0
Ley N%fam. 81 de 1991 Ley de Municipios Aut%f3nomos del Gobierno de Puerto Rico,1.0
penal code 830.1,0.0
public act 89-203,0.0
Rule 34 permission inspect test,0.0
rule 41,0.0
rule 702,0.0
United States v Hodge ( Third Cricuit 2000),0.0
USCS Federal Rules of Evidence 407,0.0
23:49.1,1.0
61.14,0.0
90.803,0.0
124.34,0.0
911,0.0
966,0.0
1278.5,0.0
3709.99,0.0
8543,0.0
"""18 U.S.C. 2721""",0.0
"""259-c(14)""",0.0
